category	county	town	ad_id	date_of_lead	leads	package_type
commercial	Dublin	Dublin 1	5488746	08/01/2018	1	Standard
commercial	Dublin	Dublin 2	5346753	08/01/2018	1	Standard
commercial	Dublin	Dublin 2	5491162	08/01/2018	1	Standard
commercial	Dublin	Dublin 2	5525939	08/01/2018	1	Standard
commercial	Dublin	Dublin 2	5396087	08/01/2018	1	Standard
commercial	Dublin	Dublin 7	5540747	08/01/2018	3	Standard
commercial	Dublin	IFSC	5401170	08/01/2018	1	Standard
commercial	Dublin	Rathmines	5510836	08/01/2018	1	Standard
commercial	Dublin	Santry	5533956	08/01/2018	1	Standard
commercial	Dublin	Dublin 1	5526657	09/01/2018	1	Standard
commercial	Dublin	Dublin 2	5536505	09/01/2018	1	Standard
commercial	Dublin	Dublin 2	5482405	09/01/2018	1	Standard
commercial	Dublin	Dublin 7	5540747	09/01/2018	2	Standard
commercial	Dublin	Foxrock	5470258	09/01/2018	1	Standard
commercial	Dublin	Clonshaugh	5569882	10/01/2018	1	Standard
commercial	Dublin	Kilbarrack	5523006	10/01/2018	1	Standard
commercial	Dublin	Santry	5394522	10/01/2018	1	Standard
commercial	Dublin	Santry	5533956	10/01/2018	1	Standard
commercial	Dublin	Dublin 2	5542839	11/01/2018	1	Standard
commercial	Dublin	Dublin 2	5526812	11/01/2018	2	Standard
commercial	Dublin	Park West	5469122	11/01/2018	1	Standard
commercial	Dublin	Dublin 2	5527660	12/01/2018	1	Standard
commercial	Dublin	Dublin 2	5542839	13/01/2018	1	Standard
commercial	Dublin	Rathmines	5510836	13/01/2018	1	Standard
commercial	Dublin	Artane	5574316	15/01/2018	2	Standard
commercial	Dublin	Ballycoolin	5574336	15/01/2018	1	Standard
commercial	Dublin	Dublin 1	5574380	15/01/2018	1	Standard
commercial	Dublin	Dublin 2	5574325	15/01/2018	1	Standard
commercial	Dublin	Dublin 2	5542839	15/01/2018	1	Standard
commercial	Dublin	Dublin 7	5540747	15/01/2018	1	Standard
commercial	Dublin	Foxrock	5574691	15/01/2018	2	Standard
commercial	Dublin	Killiney	5574385	15/01/2018	1	Standard
commercial	Dublin	Finglas	5575147	16/01/2018	1	Standard
commercial	Dublin	Kilbarrack	5523006	16/01/2018	1	Standard
commercial	Dublin	Leopardstown	5309768	16/01/2018	1	Standard
commercial	Dublin	Park West	5484191	16/01/2018	1	Standard
commercial	Dublin	Balbriggan	5429452	17/01/2018	1	Standard
commercial	Dublin	Leopardstown	5113408	17/01/2018	1	Standard
commercial	Dublin	Park West	5469122	17/01/2018	1	Standard
commercial	Dublin	Santry	5533956	17/01/2018	1	Standard
commercial	Dublin	Dublin 2	5484923	18/01/2018	1	Standard
commercial	Dublin	Dublin 2	5574353	18/01/2018	1	Standard
commercial	Dublin	Dublin 2	5346753	18/01/2018	1	Standard
commercial	Dublin	Kilmainham	5480864	18/01/2018	1	Standard
commercial	Dublin	Leopardstown	5113408	18/01/2018	1	Standard
commercial	Dublin	Park West	5469122	19/01/2018	1	Standard
commercial	Dublin	Artane	5574316	21/01/2018	1	Standard
commercial	Dublin	Ballycoolin	5421515	21/01/2018	1	Standard
commercial	Dublin	Park West	5484191	21/01/2018	1	Standard
commercial	Dublin	Artane	5574316	22/01/2018	4	Standard
commercial	Dublin	Donnybrook	5418953	22/01/2018	1	Standard
commercial	Dublin	Dublin 1	5574322	22/01/2018	1	Standard
commercial	Dublin	Park West	5110484	22/01/2018	1	Standard
commercial	Dublin	Rathmines	5510836	22/01/2018	2	Standard
commercial	Dublin	Santry	5533956	22/01/2018	1	Standard
commercial	Dublin	Ballsbridge	5574334	23/01/2018	1	Standard
commercial	Dublin	Dublin 2	5574344	23/01/2018	1	Standard
commercial	Dublin	Dublin 2	5346753	23/01/2018	1	Standard
commercial	Dublin	Santry	5533956	23/01/2018	2	Standard
commercial	Dublin	Coolock	5541046	24/01/2018	1	Standard
commercial	Dublin	Rathmines	5510836	24/01/2018	1	Standard
commercial	Dublin	Santry	5394522	24/01/2018	1	Standard
commercial	Dublin	Santry	5580320	24/01/2018	1	Standard
commercial	Dublin	Santry	5533956	24/01/2018	1	Standard
commercial	Dublin	Artane	5574316	25/01/2018	4	Standard
commercial	Dublin	Ballycoolin	5421515	25/01/2018	1	Standard
commercial	Dublin	Dublin 2	5574323	25/01/2018	1	Standard
commercial	Dublin	Harold's Cross	5574351	25/01/2018	1	Standard
commercial	Dublin	Leopardstown	5574329	25/01/2018	1	Standard
commercial	Dublin	Rathmines	5510836	25/01/2018	1	Standard
commercial	Dublin	Artane	5574316	26/01/2018	1	Standard
commercial	Dublin	Leopardstown	5452739	26/01/2018	1	Standard
commercial	Dublin	Rathmines	5510836	27/01/2018	1	Standard
commercial	Dublin	Balbriggan	5429452	28/01/2018	1	Standard
commercial	Dublin	Dublin 2	545193	28/01/2018	1	Standard
commercial	Dublin	Killiney	5401173	28/01/2018	1	Standard
commercial	Kildare	Kilcock	5461071	28/01/2018	1	Standard
commercial	Dublin	Dublin 1	5574322	29/01/2018	1	Standard
commercial	Dublin	Dublin 2	545193	29/01/2018	1	Standard
commercial	Dublin	Dublin 2	5574325	29/01/2018	1	Standard
commercial	Dublin	Leopardstown	5452739	29/01/2018	1	Standard
commercial	Dublin	Park West	5484191	29/01/2018	1	Standard
commercial	Dublin	Santry	5580320	29/01/2018	1	Standard
commercial	Dublin	Dublin 1	5509876	30/01/2018	1	Standard
commercial	Dublin	Dublin 1	5526657	30/01/2018	2	Standard
commercial	Dublin	Kilbarrack	5523006	30/01/2018	1	Standard
commercial	Dublin	Rathcoole	5447252	30/01/2018	2	Standard
commercial	Dublin	Santry	5580320	30/01/2018	2	Standard
commercial	Kildare	Kilcock	5461071	30/01/2018	1	Standard
commercial	Dublin	Leopardstown	5574328	31/01/2018	1	Standard
commercial	Dublin	Dublin 2	5574321	01/02/2018	1	Standard
commercial	Dublin	Santry	5533956	01/02/2018	1	Standard
commercial	Dublin	Santry	5580320	01/02/2018	1	Standard
commercial	Dublin	Rathmines	5510836	02/02/2018	1	Standard
commercial	Dublin	Coolock	5541046	03/02/2018	1	Standard
commercial	Dublin	Dublin 2	5574344	03/02/2018	1	Standard
commercial	Dublin	Dublin 2	5574325	03/02/2018	1	Standard
commercial	Dublin	Dublin 2	5574323	03/02/2018	1	Standard
commercial	Dublin	Dublin 2	5574319	03/02/2018	1	Standard
commercial	Dublin	Dublin 2	5584553	03/02/2018	2	Standard
commercial	Kildare	Naas	5477528	03/02/2018	1	Standard
commercial	Dublin	Harold's Cross	5574351	04/02/2018	1	Standard
commercial	Dublin	Santry	5533956	04/02/2018	1	Standard
commercial	Dublin	Artane	5574316	05/02/2018	1	Standard
commercial	Dublin	Leopardstown	5574329	05/02/2018	1	Standard
commercial	Dublin	Leopardstown	5574384	05/02/2018	1	Standard
commercial	Dublin	Park West	5484191	05/02/2018	1	Standard
commercial	Dublin	Santry	5580320	05/02/2018	1	Standard
commercial	Dublin	Blackrock	5309766	06/02/2018	1	Standard
commercial	Dublin	Blanchardstown	5587785	06/02/2018	1	Standard
commercial	Dublin	Donnybrook	5418953	06/02/2018	1	Standard
commercial	Dublin	Dublin 2	5584553	06/02/2018	1	Standard
commercial	Dublin	Park West	5469122	06/02/2018	1	Standard
commercial	Dublin	Santry	5580320	06/02/2018	1	Standard
commercial	Dublin	Blanchardstown	5587785	07/02/2018	1	Standard
commercial	Dublin	Donnybrook	5418953	07/02/2018	1	Standard
commercial	Dublin	Dublin 1	5526657	07/02/2018	1	Standard
commercial	Dublin	Dublin 2	5574323	07/02/2018	1	Standard
commercial	Dublin	Park West	5484191	07/02/2018	1	Standard
commercial	Dublin	Santry	5394522	07/02/2018	1	Standard
commercial	Dublin	St Margaret's	5588788	07/02/2018	1	Standard
commercial	Dublin	Blackrock	5309766	08/02/2018	1	Standard
commercial	Dublin	Dublin 2	5574325	08/02/2018	1	Standard
commercial	Dublin	Dublin 2	5574323	08/02/2018	1	Standard
commercial	Dublin	Dublin 2	5574321	08/02/2018	1	Standard
commercial	Dublin	Rathmines	5510836	08/02/2018	4	Standard
commercial	Dublin	Citywest	5588983	09/02/2018	1	Standard
commercial	Dublin	Dublin 2	5574325	09/02/2018	1	Standard
commercial	Dublin	Rathmines	5510836	09/02/2018	2	Standard
commercial	Dublin	Blanchardstown	5587785	10/02/2018	1	Standard
commercial	Dublin	Clongriffin	528055	10/02/2018	1	Standard
commercial	Dublin	Park West	5484191	10/02/2018	1	Standard
commercial	Dublin	Rathmines	5510836	10/02/2018	1	Standard
commercial	Dublin	Santry	5533956	11/02/2018	2	Standard
commercial	Kildare	Kilcock	5529511	11/02/2018	1	Standard
commercial	Dublin	Blackrock	5309766	12/02/2018	1	Standard
commercial	Dublin	Blanchardstown	5587785	12/02/2018	1	Standard
commercial	Dublin	Park West	5577166	12/02/2018	1	Standard
commercial	Dublin	Artane	5574316	13/02/2018	1	Standard
commercial	Dublin	Balbriggan	5429452	13/02/2018	1	Standard
commercial	Dublin	Dublin 2	5584553	13/02/2018	1	Standard
commercial	Dublin	Park West	5574369	13/02/2018	1	Standard
commercial	Dublin	Park West	5574370	13/02/2018	2	Standard
commercial	Dublin	Rathmines	5510836	13/02/2018	1	Standard
commercial	Dublin	Dublin 2	5593223	14/02/2018	1	Standard
commercial	Dublin	Grand Canal Dock	5574339	14/02/2018	1	Standard
commercial	Dublin	Rathmines	5510836	14/02/2018	1	Standard
commercial	Dublin	Dublin 2	5574324	15/02/2018	1	Standard
commercial	Dublin	Dublin 2	5574325	15/02/2018	1	Standard
commercial	Dublin	Citywest	5588983	16/02/2018	2	Standard
commercial	Dublin	Dublin 2	5593223	16/02/2018	1	Standard
commercial	Dublin	Rathmines	5510836	16/02/2018	2	Standard
commercial	Dublin	Santry	5533956	16/02/2018	1	Standard
commercial	Louth	Tullyallen	5593019	16/02/2018	1	Standard
commercial	Dublin	Citywest	5588983	17/02/2018	1	Standard
commercial	Dublin	Leopardstown	5452739	17/02/2018	1	Standard
commercial	Dublin	Rathmines	5510836	17/02/2018	1	Standard
commercial	Dublin	Artane	5574316	18/02/2018	1	Standard
commercial	Dublin	Santry	5580320	18/02/2018	1	Standard
commercial	Louth	Tullyallen	5593019	18/02/2018	1	Standard
commercial	Dublin	Clongriffin	528055	19/02/2018	10	Standard
commercial	Dublin	Dublin 2	5584553	19/02/2018	1	Standard
commercial	Dublin	Killiney	5595997	19/02/2018	1	Standard
commercial	Dublin	Park West	5577166	19/02/2018	1	Standard
commercial	Dublin	Sandyford	5595996	19/02/2018	1	Standard
commercial	Dublin	Ballycoolin	5421515	20/02/2018	1	Standard
commercial	Dublin	Ballsbridge	5597374	21/02/2018	1	Standard
commercial	Dublin	Citywest	5588983	21/02/2018	1	Standard
commercial	Dublin	Park West	5484191	21/02/2018	1	Standard
commercial	Dublin	Rathmines	5510836	21/02/2018	1	Standard
commercial	Dublin	Ballsbridge	5597374	22/02/2018	1	Standard
commercial	Dublin	Citywest	5588983	22/02/2018	1	Standard
commercial	Dublin	Dublin 1	5480663	22/02/2018	1	Standard
commercial	Dublin	Finglas	5319265	22/02/2018	1	Standard
commercial	Dublin	Park West	5577115	22/02/2018	1	Standard
commercial	Dublin	Park West	5484191	22/02/2018	1	Standard
commercial	Dublin	Sandyford	5595996	22/02/2018	1	Standard
commercial	Westmeath	Athlone	5597696	22/02/2018	1	Standard
commercial	Dublin	Park West	5484191	23/02/2018	1	Standard
commercial	Dublin	Santry	5533956	23/02/2018	1	Standard
commercial	Kildare	Naas	5477528	23/02/2018	1	Standard
commercial	Dublin	Dublin 1	5597375	24/02/2018	1	Standard
commercial	Dublin	Rathmines	5510836	24/02/2018	1	Standard
commercial	Westmeath	Athlone	5597696	25/02/2018	1	Standard
commercial	Dublin	Dublin 2	5584553	26/02/2018	1	Standard
commercial	Dublin	Leopardstown	5452739	26/02/2018	1	Standard
commercial	Dublin	Leopardstown	5574328	26/02/2018	1	Standard
commercial	Dublin	Sandyford	5595996	26/02/2018	1	Standard
commercial	Dublin	Santry	5533956	26/02/2018	1	Standard
commercial	Dublin	Artane	5574316	27/02/2018	1	Standard
commercial	Dublin	Citywest	5588983	27/02/2018	1	Standard
commercial	Dublin	Leopardstown	5452739	27/02/2018	1	Standard
commercial	Kildare	Kilcock	5529511	27/02/2018	1	Standard
commercial	Louth	Tullyallen	5593019	27/02/2018	1	Standard
commercial	Westmeath	Athlone	5597696	27/02/2018	1	Standard
commercial	Dublin	Killiney	5595997	28/02/2018	1	Standard
commercial	Dublin	Park West	5484191	28/02/2018	1	Standard
commercial	Dublin	Phibsborough	5601537	28/02/2018	1	Standard
commercial	Dublin	Rathmines	5510836	28/02/2018	1	Standard
commercial	Dublin	Phibsborough	5601537	01/03/2018	1	Standard
commercial	Dublin	Rathmines	5510836	01/03/2018	2	Standard
commercial	Dublin	Artane	5574316	02/03/2018	1	Standard
commercial	Dublin	Balbriggan	5429452	02/03/2018	2	Standard
commercial	Dublin	Citywest	5588983	02/03/2018	1	Standard
commercial	Dublin	Killiney	5595997	02/03/2018	1	Standard
commercial	Dublin	St Margaret's	5588788	02/03/2018	1	Standard
commercial	Dublin	Swords	5541045	02/03/2018	1	Standard
commercial	Dublin	Balbriggan	5429452	03/03/2018	1	Standard
commercial	Dublin	Leopardstown	5113408	03/03/2018	1	Standard
commercial	Dublin	Ballycoolin	5421515	04/03/2018	1	Standard
commercial	Kildare	Kilcock	5461071	04/03/2018	1	Standard
commercial	Dublin	Artane	5574316	05/03/2018	4	Standard
commercial	Dublin	Ballsbridge	5597374	05/03/2018	1	Standard
commercial	Dublin	Coolock	5541046	05/03/2018	1	Standard
commercial	Dublin	Dublin 1	5480663	05/03/2018	1	Standard
commercial	Dublin	IFSC	5401170	05/03/2018	1	Standard
commercial	Dublin	Park West	5484191	05/03/2018	2	Standard
commercial	Dublin	Sandyford	5595996	05/03/2018	1	Standard
commercial	Dublin	Artane	5574316	06/03/2018	1	Standard
commercial	Dublin	Dublin 1	5574322	06/03/2018	1	Standard
commercial	Dublin	Kilmainham	5309648	06/03/2018	1	Standard
commercial	Westmeath	Athlone	5597696	06/03/2018	1	Standard
commercial	Dublin	Citywest	5588983	07/03/2018	1	Standard
commercial	Dublin	Coolock	5541046	07/03/2018	1	Standard
commercial	Dublin	Dublin 2	5574324	07/03/2018	1	Standard
commercial	Dublin	Dublin 2	5593223	07/03/2018	2	Standard
commercial	Tipperary	Cahir	5601448	07/03/2018	1	Standard
commercial	Dublin	Leopardstown	5452739	08/03/2018	1	Standard
commercial	Dublin	Park West	5469122	08/03/2018	1	Standard
commercial	Dublin	Swords	5541045	08/03/2018	1	Standard
commercial	Dublin	Citywest	5588983	09/03/2018	1	Standard
commercial	Dublin	Kilmainham	5592492	09/03/2018	1	Standard
commercial	Dublin	Leopardstown	5574330	09/03/2018	1	Standard
commercial	Dublin	Sandyford	5595996	09/03/2018	1	Standard
commercial	Dublin	Dublin 2	5593223	10/03/2018	1	Standard
commercial	Dublin	Rathmines	5510836	10/03/2018	1	Standard
commercial	Dublin	Balbriggan	5429452	11/03/2018	1	Standard
commercial	Dublin	Dublin 2	5574325	11/03/2018	1	Standard
commercial	Dublin	Kilmainham	5309648	11/03/2018	1	Standard
commercial	Dublin	Rathmines	5510836	11/03/2018	1	Standard
commercial	Dublin	Santry	5533956	11/03/2018	1	Standard
commercial	Tipperary	Cahir	5601448	11/03/2018	1	Standard
commercial	Westmeath	Athlone	5597696	11/03/2018	1	Standard
commercial	Dublin	Ballsbridge	5597374	12/03/2018	1	Standard
commercial	Dublin	Donnybrook	5418953	12/03/2018	1	Standard
commercial	Dublin	Dublin 2	5593223	12/03/2018	1	Standard
commercial	Dublin	Dublin 2	5584163	12/03/2018	1	Standard
commercial	Dublin	Phibsborough	5601537	12/03/2018	1	Standard
commercial	Dublin	Balbriggan	5429452	13/03/2018	2	Standard
commercial	Dublin	Kilbarrack	5523006	13/03/2018	1	Standard
commercial	Dublin	Rathmines	5510836	13/03/2018	1	Standard
commercial	Kildare	Kilcock	5461071	13/03/2018	1	Standard
commercial	Dublin	Balbriggan	5429452	14/03/2018	1	Standard
commercial	Dublin	Dublin 2	5584553	14/03/2018	1	Standard
commercial	Dublin	Rathmines	5510836	14/03/2018	1	Standard
commercial	Tipperary	Cahir	5601448	14/03/2018	1	Standard
commercial	Westmeath	Athlone	5597696	14/03/2018	1	Standard
commercial	Dublin	Ballycoolin	5421515	15/03/2018	1	Standard
commercial	Dublin	Blanchardstown	5587785	15/03/2018	1	Standard
commercial	Dublin	Park West	5484191	15/03/2018	1	Standard
commercial	Meath	Slane	5609326	15/03/2018	1	Standard
commercial	Dublin	Dublin 2	5527660	17/03/2018	1	Standard
commercial	Dublin	Leopardstown	5113408	17/03/2018	1	Standard
commercial	Dublin	Citywest	5588983	18/03/2018	1	Standard
commercial	Kildare	Naas	5477528	18/03/2018	1	Standard
commercial	Dublin	Clonskeagh	5574354	19/03/2018	1	Standard
commercial	Dublin	Leopardstown	5574328	19/03/2018	1	Standard
commercial	Dublin	Dublin 2	5574323	20/03/2018	1	Standard
commercial	Dublin	Leopardstown	5452739	20/03/2018	1	Standard
commercial	Dublin	Rathmines	5510836	20/03/2018	1	Standard
commercial	Louth	Tullyallen	5593019	20/03/2018	1	Standard
commercial	Tipperary	Cahir	5601448	20/03/2018	1	Standard
commercial	Dublin	Artane	5574316	21/03/2018	5	Standard
commercial	Dublin	Park West	5484191	21/03/2018	1	Standard
commercial	Dublin	Rathmines	5510836	21/03/2018	1	Standard
commercial	Dublin	Santry	5533956	21/03/2018	2	Standard
commercial	Kildare	Kilcock	5461071	21/03/2018	1	Standard
commercial	Dublin	Citywest	5588983	22/03/2018	1	Standard
commercial	Dublin	Coolock	5541046	22/03/2018	2	Standard
commercial	Dublin	Harold's Cross	5574351	22/03/2018	1	Standard
commercial	Dublin	Park West	5484191	22/03/2018	1	Standard
commercial	Dublin	Rathmines	5510836	22/03/2018	1	Standard
commercial	Kildare	Kilcock	5529511	22/03/2018	1	Standard
commercial	Tipperary	Cahir	5601448	22/03/2018	1	Standard
commercial	Dublin	Coolock	5541046	23/03/2018	1	Standard
commercial	Dublin	Dublin 2	5542839	23/03/2018	1	Standard
commercial	Dublin	Kilmainham	5309648	23/03/2018	1	Standard
commercial	Dublin	Rathmines	5510836	24/03/2018	1	Standard
commercial	Dublin	Santry	5533956	24/03/2018	1	Standard
commercial	Dublin	Swords	5541045	24/03/2018	1	Standard
commercial	Dublin	Citywest	5588983	25/03/2018	1	Standard
commercial	Dublin	Coolock	5541046	25/03/2018	1	Standard
commercial	Dublin	Dublin 2	5593223	25/03/2018	1	Standard
commercial	Dublin	Artane	5574316	26/03/2018	1	Standard
commercial	Dublin	Clongriffin	528055	26/03/2018	1	Standard
commercial	Dublin	Park West	5484191	26/03/2018	2	Standard
commercial	Kildare	Leixlip	5613352	27/03/2018	1	Standard
commercial	Dublin	Artane	5574316	28/03/2018	4	Standard
commercial	Dublin	Leopardstown	5452739	28/03/2018	1	Standard
commercial	Dublin	Rathmines	5510836	28/03/2018	1	Standard
commercial	Dublin	Santry	5533956	28/03/2018	1	Standard
commercial	Meath	Slane	5609326	28/03/2018	1	Standard
commercial	Dublin	Clongriffin	528055	29/03/2018	1	Standard
commercial	Dublin	Dublin 2	5574325	29/03/2018	1	Standard
commercial	Dublin	Foxrock	5617070	29/03/2018	1	Standard
commercial	Dublin	IFSC	5401170	29/03/2018	1	Standard
commercial	Dublin	Santry	5533956	29/03/2018	1	Standard
commercial	Kildare	Leixlip	5613352	29/03/2018	1	Standard
commercial	Dublin	Leopardstown	5113408	01/04/2018	1	Standard
commercial	Dublin	Park West	5469122	01/04/2018	1	Standard
commercial	Dublin	Rathmines	5510836	01/04/2018	2	Standard
commercial	Dublin	Phibsborough	5601537	02/04/2018	1	Standard
commercial	Westmeath	Athlone	5597696	02/04/2018	1	Standard
commercial	Dublin	Dublin 1	5617069	03/04/2018	1	Standard
commercial	Dublin	Leopardstown	5113408	03/04/2018	1	Standard
commercial	Dublin	Santry	5533956	03/04/2018	1	Standard
commercial	Dublin	Dublin 1	5617069	04/04/2018	1	Standard
commercial	Dublin	Leopardstown	5113408	04/04/2018	1	Standard
commercial	Dublin	Phibsborough	5601537	04/04/2018	3	Standard
commercial	Dublin	Rathmines	5510836	04/04/2018	2	Standard
commercial	Kildare	Naas	5477528	04/04/2018	1	Standard
commercial	Dublin	Santry	5533956	05/04/2018	1	Standard
commercial	Tipperary	Cahir	5601448	05/04/2018	2	Standard
commercial	Dublin	Citywest	5588983	06/04/2018	1	Standard
commercial	Dublin	Leopardstown	5452739	06/04/2018	1	Standard
commercial	Dublin	Dublin 1	5574355	07/04/2018	1	Standard
commercial	Dublin	Foxrock	5617070	07/04/2018	1	Standard
commercial	Dublin	Phibsborough	5601537	07/04/2018	1	Standard
commercial	Dublin	Blanchardstown	5587785	09/04/2018	1	Standard
commercial	Dublin	Dublin 1	5617069	09/04/2018	1	Standard
commercial	Dublin	Dublin 2	5593223	09/04/2018	1	Standard
commercial	Dublin	Leopardstown	5452739	09/04/2018	1	Standard
commercial	Dublin	Santry	5533956	09/04/2018	1	Standard
commercial	Dublin	Smithfield	5600207	09/04/2018	1	Standard
commercial	Dublin	Dublin 2	5593223	10/04/2018	1	Standard
commercial	Dublin	Foxrock	5617070	10/04/2018	1	Standard
commercial	Dublin	IFSC	5401170	10/04/2018	1	Standard
commercial	Dublin	Santry	5394522	10/04/2018	1	Standard
commercial	Dublin	Santry	5533956	10/04/2018	2	Standard
commercial	Dublin	Artane	5574316	11/04/2018	1	Standard
commercial	Dublin	Ballsbridge	5574334	11/04/2018	1	Featured
commercial	Dublin	Blanchardstown	5587785	11/04/2018	1	Standard
commercial	Dublin	Park West	5484191	11/04/2018	3	Standard
commercial	Dublin	Santry	5533956	11/04/2018	1	Standard
commercial	Dublin	Dublin 2	5593223	12/04/2018	1	Standard
commercial	Dublin	Dublin 2	5574382	12/04/2018	1	Standard
commercial	Dublin	Dublin 2	5574325	12/04/2018	1	Standard
commercial	Dublin	Killiney	5595997	12/04/2018	1	Standard
commercial	Dublin	Park West	5484191	12/04/2018	1	Standard
commercial	Kildare	Naas	5477528	12/04/2018	1	Standard
commercial	Dublin	Leopardstown	5113408	13/04/2018	1	Standard
commercial	Dublin	Santry	5533956	13/04/2018	1	Standard
commercial	Dublin	Leopardstown	5452739	14/04/2018	1	Standard
commercial	Dublin	Rathmines	5510836	14/04/2018	2	Standard
commercial	Dublin	Dublin 2	5574321	15/04/2018	1	Standard
commercial	Dublin	Leopardstown	5452739	15/04/2018	1	Standard
commercial	Dublin	Sandyford	5595996	15/04/2018	1	Standard
commercial	Dublin	Artane	5574316	16/04/2018	1	Standard
commercial	Dublin	Dublin 1	5574322	16/04/2018	1	Standard
commercial	Dublin	Swords	5541045	16/04/2018	1	Standard
commercial	Kildare	Leixlip	5613352	16/04/2018	2	Standard
commercial	Meath	Ashbourne	5626053	16/04/2018	1	Standard
commercial	Dublin	Dublin 2	5456620	17/04/2018	1	Standard
commercial	Dublin	Dublin 2	5597373	17/04/2018	1	Standard
commercial	Dublin	Rathmines	5510836	17/04/2018	2	Standard
commercial	Kildare	Kilcock	5529511	18/04/2018	1	Standard
